Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
S11696.Y1.E2.L1.1240k_plus.hg19.v1	22292670.0	0.0	22292670.0	1.0	22292670.0	0.0	22292670.0	0.0	0.0	0.0	0.0	1930503.0	4043178.0	0.0	0.0	0.0	1289687987.0	1289687987.0	0.0	1289687987.0	1289687429.0	0.0	118147098.0	8982126.0	0.006964576	57.0	58.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	8.659810601421903	18.13680460886919	0.0
S11697.Y1.E2.L1.1240k_plus.hg19.v1	21230360.0	0.0	21230360.0	1.0	21230360.0	0.0	21230360.0	0.0	0.0	0.0	0.0	1166482.0	4124818.0	0.0	0.0	0.0	1201220701.0	1201220701.0	0.0	1201220701.0	1201220133.0	0.0	70351942.0	8671494.0	0.007218905	56.0	57.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	5.494405182012929	19.42886507812397	0.0
S12955.Y1.E1.L1.1240k_plus.hg19.v1	19317149.0	0.0	19317149.0	1.0	19317149.0	0.0	19317149.0	0.0	0.0	0.0	0.0	1192084.0	3134042.0	0.0	0.0	0.0	1155522770.0	1155522770.0	0.0	1155522770.0	1155522416.0	0.0	76176880.0	7498998.0	0.006489703	59.0	60.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	6.171117694438243	16.224143635274544	0.0
S12957.Y1.E1.L1.1240k_plus.hg19.v1	19115183.0	0.0	19115183.0	1.0	19115183.0	0.0	19115183.0	0.0	0.0	0.0	0.0	1672749.0	3919639.0	0.0	0.0	0.0	1052713390.0	1052713390.0	0.0	1052713390.0	1052713080.0	0.0	101768153.0	7364234.0	0.006995481	55.0	55.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	8.750891895724985	20.505369998288796	0.0
S12960.Y1.E1.L1.1240k_plus.hg19.v1	17184731.0	0.0	17184731.0	1.0	17184731.0	0.0	17184731.0	0.0	0.0	0.0	0.0	4470769.0	4696541.0	0.0	0.0	0.0	838291511.0	838291511.0	0.0	838291511.0	838291370.0	0.0	234733721.0	6081042.0	0.007254091	48.0	49.0	0.0	123.0	123.0	0.0	35.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	26.015938218643047	27.32973242351015	0.0
S12969.Y1.E1.L1.1240k_plus.hg19.v1	17695734.0	0.0	17695734.0	1.0	17695734.0	0.0	17695734.0	0.0	0.0	0.0	0.0	1534018.0	3479297.0	0.0	0.0	0.0	986526605.0	986526605.0	0.0	986526605.0	986526385.0	0.0	92306247.0	6956322.0	0.007051329	55.0	56.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	8.668857703218189	19.661784020939734	0.0
S12970.Y1.E1.L1.1240k_plus.hg19.v1	18073867.0	0.0	18073867.0	1.0	18073867.0	0.0	18073867.0	0.0	0.0	0.0	0.0	1203127.0	2980958.0	0.0	0.0	0.0	1066907143.0	1066907143.0	0.0	1066907143.0	1066906767.0	0.0	75055996.0	6764394.0	0.006340192	59.0	59.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	6.6567215527258226	16.49319428985507	0.0
S12971.Y1.E1.L1.1240k_plus.hg19.v1	18485821.0	0.0	18485821.0	1.0	18485821.0	0.0	18485821.0	0.0	0.0	0.0	0.0	1076264.0	3047468.0	0.0	0.0	0.0	1086208476.0	1086208476.0	0.0	1086208476.0	1086208178.0	0.0	67435847.0	7135619.0	0.006569292	58.0	59.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	5.822105493718673	16.485434972025317	0.0
S12973.Y1.E1.L1.1240k_plus.hg19.v1	17060829.0	0.0	17060829.0	1.0	17060829.0	0.0	17060829.0	0.0	0.0	0.0	0.0	1347553.0	3032717.0	0.0	0.0	0.0	1028596056.0	1028596056.0	0.0	1028596056.0	1028595906.0	0.0	88511568.0	6988075.0	0.0067938	60.0	60.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	7.898520054330302	17.775906434558365	0.0
S12974.Y1.E1.L1.1240k_plus.hg19.v1	18836303.0	0.0	18836303.0	1.0	18836303.0	0.0	18836303.0	0.0	0.0	0.0	0.0	984432.0	2895820.0	0.0	0.0	0.0	1139800420.0	1139800420.0	0.0	1139800420.0	1139800053.0	0.0	64044268.0	7305216.0	0.006409208	60.0	61.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	5.226248484110709	15.373611265437809	0.0
